ProductName,Bloomberg Ticker,Brand,Store Type,SWA_Category 1,SWA_Category 2,YearMonth,Year,Month,Sales Unit,Sales Value

==Lafang,603630 CH EQUITY,Betrue/缤纯,3rd Party,Face Care/面部护肤,Other Facial Skin Care/其他保养,201603,2016,3,1,2

==Baoxiniao,002154 CH EQUITY,BONO/波诺,Official Store,Branded luggage/品牌箱包,Fashion Handbags/时尚女包,201706,2017,6,4,567

Metersbonwe,002269 CH EQUITY,Me&City,Official Store,Sports Apparel/运动服,Windbreaker/风衣,201708,2017,8,68,36472

--Jiugui Liquor,000799 CH EQUITY,酒鬼,Official Store,Wine/美酒,Chinese Liquor/中国白酒,201708,2017,8,1707,597343

--Mendale Home,002397 CH EQUITY,梦洁,Official Store,Residential furniture/office furniture/住宅家具/办公家具,Mattress/床垫,201708,2017,8,21,41439

==Sinoer,002485 CH EQUITY,MORDEL/美尔顿,Official Store,Mens's Branded Apparel/精品男装,Short-sleeved Shirt/短袖衬衫,201707,2017,7,3,503

ELLASSAY,603808 CH EQUITY,IRO ,3rd Party,Women's Branded Apparel/品牌女装,Original Brand/设计师原创品牌,201704,2017,4,1,2320

--Jiuzhou,000801 CH EQUITY,JEZETEK/九洲（电子）,Official Store,Audio and video/影音视听,Audio and Video Appliances Accessories/影音家电配件,201708,2017,8,2,17

Markor International,600337 CH EQUITY,美克美家,Official Store,Tmall Books/天猫图书,Fiction/小说,201708,2017,8,1,3519

==Baoxiniao,002154 CH EQUITY,SOLOSALI/所罗,3rd Party,Mens's Branded Apparel/精品男装,Cotton Leisure Pants/全棉休闲裤,201701,2017,1,1,339

Fiyta,000026 CH EQUITY,Beijing/北京手表,Official Store,Branded Watch/Fashion Watch/品牌手表/时尚手表,Watch Strap/Accessories/表带/配件,201708,2017,8,23,4344

==Semir,002563 CH EQUITY,YUANDIAN/原点,Official Store,Women's Branded Apparel/品牌女装,T-shirt/T恤,201706,2017,6,1,158

Gaugen,870909 CH EQUITY,COCQBBQ/酷烤,3rd Party,Cereal & Condiment/粮油调味,Condiment/调味品,201701,2017,1,65,1879

Shanghai Dragon,600630 CH EQUITY,钟牌414,3rd Party,Household Fabrics/居家布艺,Towel/Face Towel/毛巾/面巾,201708,2017,8,4994,63099

--Shanghai Maling,600073 CH EQUITY,联豪食品,Official Store,Kitchen/dining utensils/厨房/餐饮用具,Porcelain/Cutlery/瓷器/餐具,201708,2017,8,106,1049

--Royal Group,002329 CH EQUITY,皇氏乳业,3rd Party,Drinks/冲饮,Dairy/乳制品,201708,2017,8,6,258

--Shunxin Agriculture,000860 CH EQUITY,岛城鹏程,3rd Party,Snacks/休闲零食,Instant Meat/肉类即食,201707,2017,7,220,8690

